caption,object_color
A black fish with yellow fins swims in a glass aquarium.,"{""fish"": ""black"", ""fins"": ""yellow""}"
A white rabbit with pink nose hides behind tall grass.,"{""rabbit"": ""white"", ""nose"": ""pink""}"
A golden chair with red cushions stands in a grand hall.,"{""chair"": ""golden"", ""cushions"": ""red""}"
A silver butterfly with green spots rests on a leafy branch.,"{""butterfly"": ""silver"", ""spots"": ""green""}"
A purple strawberry with blue seeds is placed on a porcelain plate.,"{""strawberry"": ""purple"", ""seeds"": ""blue""}"
A brown vase with turquoise designs holds fresh sunflowers.,"{""vase"": ""brown"", ""designs"": ""turquoise""}"
A black hat decorated with a golden star rests on a table.,"{""hat"": ""black"", ""star"": ""golden""}"
A turquoise guitar with yellow strings leans on a speaker.,"{""guitar"": ""turquoise"", ""strings"": ""yellow""}"
A red scarf with golden edges hangs on a coat rack.,"{""scarf"": ""red"", ""edges"": ""golden""}"
A white rose with golden tips blooms under morning sunlight.,"{""rose"": ""white"", ""tips"": ""golden""}"
A green parrot with purple wings sits on a wooden perch.,"{""parrot"": ""green"", ""wings"": ""purple""}"
A pink dolphin with silver fins jumps out of the ocean.,"{""dolphin"": ""pink"", ""fins"": ""silver""}"
A black shoe with blue sole lies on a tiled floor.,"{""shoe"": ""black"", ""sole"": ""blue""}"
A golden frame with a blue picture hangs above a fireplace.,"{""frame"": ""golden"", ""picture"": ""blue""}"
A silver clock with red numbers stands on a bedside table.,"{""clock"": ""silver"", ""numbers"": ""red""}"
A turquoise cup with a golden rim sits on a wooden desk.,"{""cup"": ""turquoise"", ""rim"": ""golden""}"
A yellow house with a purple roof stands on a hillside.,"{""house"": ""yellow"", ""roof"": ""purple""}"
A red strawberry tart with white cream rests on a plate.,"{""strawberry"": ""red"", ""cream"": ""white""}"
A black cat with red ears sleeps on a green blanket.,"{""cat"": ""black"", ""ears"": ""red""}"
A golden violin with a red bow lies under stage lights.,"{""violin"": ""golden"", ""bow"": ""red""}"
A purple crown with green jewels sparkles inside a glass box.,"{""crown"": ""purple"", ""jewels"": ""green""}"
A turquoise butterfly with orange dots lands on a flower pot.,"{""butterfly"": ""turquoise"", ""dots"": ""orange""}"
A blue drum with golden rims sits in a music studio.,"{""drum"": ""blue"", ""rims"": ""golden""}"
A silver pen filled with black ink lies on a leather journal.,"{""pen"": ""silver"", ""ink"": ""black""}"
A white candle with red wax drips stands on a brass holder.,"{""candle"": ""white"", ""wax"": ""red""}"
A green pear with purple freckles rests on a kitchen counter.,"{""pear"": ""green"", ""freckles"": ""purple""}"
A golden dog collar with blue tag lies on a wooden table.,"{""dog collar"": ""golden"", ""tag"": ""blue""}"
A turquoise scarf with red patterns is draped over a chair.,"{""scarf"": ""turquoise"", ""patterns"": ""red""}"
A pink teddy bear with yellow bow sits on a swing.,"{""teddy bear"": ""pink"", ""bow"": ""yellow""}"
A silver bottle with black cap is placed on a glass shelf.,"{""bottle"": ""silver"", ""cap"": ""black""}"
A red balloon with turquoise string floats above the city street.,"{""balloon"": ""red"", ""string"": ""turquoise""}"
A brown book with silver bookmark lies open on a desk.,"{""book"": ""brown"", ""bookmark"": ""silver""}"
A white bird with orange wings flies over a river.,"{""bird"": ""white"", ""wings"": ""orange""}"
A golden lamp with turquoise base glows in a dim room.,"{""lamp"": ""golden"", ""base"": ""turquoise""}"
A green drum with black sticks sits in a practice studio.,"{""drum"": ""green"", ""sticks"": ""black""}"
A black guitar with red strings is placed on a stage.,"{""guitar"": ""black"", ""strings"": ""red""}"
A red cup with a golden rim stands on a saucer.,"{""cup"": ""red"", ""rim"": ""golden""}"
A purple kite with green ribbons soars in the windy sky.,"{""kite"": ""purple"", ""ribbons"": ""green""}"
A silver necklace with red beads sparkles on a silk cloth.,"{""necklace"": ""silver"", ""beads"": ""red""}"
A turquoise butterfly with yellow edges flutters in sunlight.,"{""butterfly"": ""turquoise"", ""edges"": ""yellow""}"
A brown horse with blue saddle trots along a dusty trail.,"{""horse"": ""brown"", ""saddle"": ""blue""}"
A golden crown with turquoise jewels shines in a museum.,"{""crown"": ""golden"", ""jewels"": ""turquoise""}"
A pink pen with silver clip lies on graph paper.,"{""pen"": ""pink"", ""clip"": ""silver""}"
A black lamp with silver base glows softly in the corner.,"{""lamp"": ""black"", ""base"": ""silver""}"
A yellow tiger with blue stripes prowls in tall grass.,"{""tiger"": ""yellow"", ""stripes"": ""blue""}"
A green frog with a golden belly sits in a pond.,"{""frog"": ""green"", ""belly"": ""golden""}"
A white guitar with turquoise frets is displayed in a shop.,"{""guitar"": ""white"", ""frets"": ""turquoise""}"
A silver fork with a red handle lies beside a soup bowl.,"{""fork"": ""silver"", ""handle"": ""red""}"
A golden apple rests on a wooden pedestal inside a gallery.,"{""apple"": ""golden""}"
A turquoise lizard with orange eyes climbs a rocky wall.,"{""lizard"": ""turquoise"", ""eyes"": ""orange""}"
A purple sofa with white cushions is placed near a window.,"{""sofa"": ""purple"", ""cushions"": ""white""}"
A red umbrella with golden handle rests near the door.,"{""umbrella"": ""red"", ""handle"": ""golden""}"
A silver ring with turquoise stone lies on velvet fabric.,"{""ring"": ""silver"", ""stone"": ""turquoise""}"
