caption,number,object
Two dolphins leap through turquoise waves sparkling in the sun.,2,dolphin
"Hanging from wooden beams are seven glowing paper lanterns, their surfaces textured with handmade rice paper.",7,paper lantern
"On a dusty shelf sit three ancient books bound in cracked leather, their pages yellowed.",3,ancient book
"Five toy robots, painted metallic silver and bronze, stand in a row on a polished floor.",5,toy robot
"A farmer’s basket filled with six ripe oranges, their pebbled skin shining with dew.",6,ripe orange
"In a small garden bloom four yellow tulips, delicate petals glistening with morning dew.",4,yellow tulip
"A child’s room with five teddy bears, each plush fur slightly worn, sitting against pastel walls.",5,teddy bear
"The café counter shows three steaming cups of coffee, the ceramic mugs glazed with earthy tones.",3,cup of coffee
"Six butterflies hover above wildflowers, their wings patterned in intricate neon shades.",6,butterfly
"A beach dotted with seven colorful beach balls, their glossy surfaces reflecting sunlight.",7,beach ball
"Three cats curled up on a velvet sofa, their fur catching soft lamp light.",3,cat
"A concert stage where four electric guitars rest, gleaming under bright spotlights.",4,electric guitar
"At the harbor float five wooden boats, their paint chipped from years of use.",5,wooden boat
"On the wet sand lie six seashells, glossy and pearlescent.",6,seashell
"The night festival illuminated by eight lanterns, glowing orange and red against the starry sky.",8,lantern
"On a rustic ceramic plate rest three slices of pizza, melted cheese stretching in strands.",3,slice of pizza
"A cobblestone alley lined with six bicycles, each casting long shadows in the late sun.",6,bicycle
A meadow buzzing with five bees gathering nectar from sunflowers.,5,bee
Four chocolate bars stacked beside a frosty glass of milk.,4,chocolate bar
"A woven basket holding seven bananas, their yellow skins slightly freckled.",7,banana
"In snowy woods, three owls perch on icy branches, their feathers fluffy against the cold.",3,owl
"The clear sky filled with six hot air balloons, patterned in stripes and diamonds.",6,hot air balloon
"Four ceramic bowls on a wooden table, each painted with delicate blue designs.",4,ceramic bowl
Two steaming mugs of hot chocolate topped with whipped cream and cinnamon powder.,2,steaming mug
"On a stage under warm lights, five violins rest on chairs, strings gleaming.",5,violin
A velvet jewelry box sparkling with six cut diamonds.,6,cut diamond
"Three penguins waddling across frozen ice, their glossy feathers glistening.",3,penguin
"A market stall selling five grape bunches, their skins shiny and taut.",5,grape bunches
A rooftop garden with seven clay pots filled with herbs.,7,clay pot
Six graphite pencils perfectly aligned on a smooth desk surface.,6,graphite pencil
"A child’s drawing showing four houses, colored with crayon and taped to the wall.",4,drawing house
"A picnic table filled with three bowls of fruit salad, colorful and juicy.",3,bowl of fruit salad
"Five cupcakes with buttercream swirls, each topped with edible glitter.",5,cupcake
"A meadow where seven butterflies rest on tall grass, wings open.",7,butterfly
"Two vintage film cameras in a glass cabinet, leather straps attached.",2,vintage film camera
